よける,dodge,"He dodged the ball flying toward him."
風船,balloon,"The child is inflating a balloon."
半島,peninsula,"The typhoon passed over the peninsula."
不完全,incomplete,"This data is still incomplete."
達成,achievement,"He achieved his sales target this month."
成り立つ,consist,"This island's economy consists of tourism."
バッジ,badge,"He was wearing a lawyer's badge."
未成年,minor,"Minors cannot drink alcohol."
敗れる,lose,"My team lost in the first round."
野原,field,"We picked flowers in the field."
原,plain,"We had a picnic on the clover plain."
要因,factor,"We are researching the factors of cancer."
ピン,pin,"She always pins her hair up."
因る,due to,"His illness is due to overwork."
物資,supplies,"We sent supplies to the disaster area."
願い,desire,"World peace is our wish."
不正,misconduct,"Cheating was discovered in the exam."
大正,Taisho,"My grandmother was born in the Taisho era."
正に,exactly,"He is exactly a hero."
常に,always,"He always maintains good posture."
日常,daily,"Music is part of my daily life."
知識,knowledge,"I gained a lot of knowledge from my travels."
認識,recognition,"I recognize that the matter is settled."
無意識,unconscious,"I hurt him unconsciously."
むなしい,empty,"Life is empty without love."
非難,criticism,"The people are criticizing the Prime Minister."
非常,emergency,"It's an emergency."
非常識,absurd,"He called at an absurd hour."
非常口,emergency exit,"I checked the emergency exit of the building."
調子,condition,"My physical condition is very good."
ついで,opportunity,"Let's invite him since we have the opportunity."
調和,harmony,"She lives in harmony with nature."
体調,physical condition,"My physical condition is bad today."
単調,monotonous,"This song is monotonous and boring."
調味料,seasoning,"Salt and pepper are common seasonings."
調整,adjustment,"I'm adjusting the schedule now."
バケツ,bucket,"Please fetch water with a bucket."
整える,arrange,"He arranged his outfit before his speech."
整う,be arranged,"The party preparations are ready."
調節,regulation,"You can regulate the room temperature here."
提出,submission,"Please submit the assignment by July 5."
前提,premise,"We proceed on the premise that negotiations will succeed."
答案,answer sheet,"I will collect the answer sheets now."
はっと,startle,"I was startled by her beauty."
投票,vote,"I cast my vote early in the morning."
目標,goal,"I aim to be like my father."
標準,standard,"The news uses standard Japanese."
連れる,bring,"My parents want you to visit once."
連日,day after day,"The exhibition was bustling day after day."
連休,holiday,"I will return to my hometown during the next holiday."
連れ,companion,"She is my companion."
連絡,contact,"I'll contact you after work."
手続き,procedure,"The immigration procedure is complete."
連続,continuation,"Her life was a series of hardships."
もしも,if,"If I could marry her, I'd be so happy."
続々,one after another,"Customers kept coming one after another."
続き,continuation,"Let's continue the story on the phone."
長続き,long-lasting,"He doesn't stick with jobs for long."
相場,market price,"What's the market price for rent around here?"
相当,correspond to,"One pound corresponds to 454 grams."
やかましい,noisy,"The speaker sound is noisy."
相応しい,suitable,"Please come dressed suitably for the occasion."
対談,conversation,"The magazine featured a conversation with the actress."
録画,recording,"I recorded my favorite show."
録音テープ,recording tape,"The interview is on this recording tape."
登場,appearance,"Her appearance enlivened the venue."
登録,registration,"Did you register for the psychology class?"
バット,bat,"This bat is made of metal."
登山,mountain climbing,"We go mountain climbing as a family during summer break."
登校,going to school,"Students go to school around 8 a.m."
山登り,mountain hiking,"Tomorrow, I'm going mountain hiking with friends."
無関心,indifferent,"She is indifferent to politics."
無関係,unrelated,"He is unrelated to this incident."
マナー,manner,"Let's observe proper dining manners."
不況,recession,"Jobs are scarce due to the recession."
態度,attitude,"Everyone was shocked at that man's attitude."
明治,Meiji era,"My grandfather was born in the Meiji era."
府,prefecture,"He lives in Osaka Prefecture."
府立,prefectural,"She attends a prefectural university."
ばらばら,scattered,"The students returned home scattered."
野党,opposition party,"The opposition party criticized the ruling party harshly."
当選,elected,"He was elected in the election."
入選,selected,"His painting was selected for the competition."
選択,selection,"You can choose from these five options."
天候,weather,"The weather changes rapidly here."
手首,wrist,"I twisted my wrist joint."
プラットホーム,platform,"I waited on the platform for the train to arrive."
脳,brain,"That quiz show stimulates the brain."
悩む,worry,"He is worried about his exams."
悩み,worry,"He was carrying a big worry."
先頭,front,"The person at the front should hold the placard."
命じる,command,"I was suddenly commanded to go on a business trip."
まぐろ,tuna,"I ate tuna sashimi."
領土,territory,"Beyond here is the neighboring country's territory."
領事館,consulate,"He went to the American consulate."
領収書,receipt,"Please give me a receipt."
取り組む,engage,"She is engaging in studying Spanish."
任せる,entrust,"I'll entrust this job to you."
ろくに,properly,"I didn't sleep properly last night."
担任,homeroom teacher,"I'm the homeroom teacher for the third graders."
無責任,irresponsible,"Irresponsible actions are unacceptable."
転勤,job transfer,"He was transferred to Osaka."
勤め先,workplace,"Please contact me at my workplace."
勤め,duty,"I'll leave my job next month."
務める,serve,"I will serve as the host."
つまむ,snack on,"Please snack on some sweets."
任務,duty,"He fulfilled his duties to the end."
務め,duty,"Protecting people is my duty."
雇う,hire,"We hired a new employee."
募集,recruit,"My company is recruiting employees."
採る,collect,"You can collect mushrooms in this mountain."
ボーイ,bellboy,"The bellboy carried the luggage."
就く,take up,"I will take up a new job this year."
退職,retirement,"I'm retiring at the end of this month."
退学,drop out,"My younger brother dropped out of high school."
早退,leave early,"I left work early because I felt unwell."
理屈,logic,"Logic doesn't work on him."
ホット,hot,"Please give me a hot coffee."
退屈,boredom,"The principal's boring talk continued."
用件,business,"I've taken a note of the matter."
参る,go,"Shall we go now?"
惨め,miserable,"He felt miserable."
追加,addition,"I added an order."
まし,better,"Even this is better than nothing."
比率,ratio,"The IT industry has a low ratio of women."
対比,contrast,"The contrast between red and black in this painting is beautiful."
見比べる,compare,"She compared the faces of the two."
比較的,relatively,"The economy is relatively good this year."
比較,comparison,"Let's compare last year's sales."
判決,judgment,"A judgment was made."
ぱっと,suddenly,"She suddenly opened her eyes."
判子,seal,"Please stamp your seal here."
評判,reputation,"We went to a restaurant with a good reputation."
批評,criticism,"The movie received good criticism."
反感,antipathy,"We felt antipathy toward his behavior."
予想,prediction,"My prediction was correct."
つなぐ,connect,"The internet connects people around the world."
理想,ideal,"He has high ideals."
想像,imagination,"I can't even imagine such a thing."
象,elephant,"I want to ride an elephant."
抽象的,abstract,"He likes abstract paintings."
保障,guarantee,"I guarantee your safety."
ひょっとしたら,maybe,"Maybe he doesn't know about that."
負傷,injury,"Many people were injured in the accident."
変換,conversion,"I converted hiragana to katakana."
取り替える,replace,"I replaced the sheets."
立て替える,pay in advance,"If you don't have money, I'll pay in advance."
天災,natural disaster,"Natural disasters cannot be prevented."
有害,harmful,"This material is harmful."
ひとりでに,automatically,"The door closed automatically."
無害,harmless,"This pesticide is harmless to humans."
被害,damage,"His house was damaged by the typhoon."
破壊,destruction,"The destruction of nature is advancing."
助かる,saved,"He was saved because he wore a seatbelt."
ひねる,twist,"He twisted the faucet."
派手,flashy,"He fell dramatically on the snowy road."
派出所,police box,"There's no one at the police box."
派遣,dispatch,"He was dispatched to the UK."
犯人,culprit,"That guy is the culprit."
犯罪,crime,"Recently, crimes have been decreasing."
ひび,crack,"There's a crack in the window glass."
罪,sin,"His sin is heavy."
盗難,theft,"Last night, my bike was stolen."
捕まる,captured,"She was finally captured."
捕まえる,capture,"The police finally caught the criminal."
逃げ出す,escape,"The tiger escaped from the cage."
逃がす,release,"I released the fish I caught."
やっつける,defeat,"The hero defeated the villain."
逃げ道,escape route,"I thought about an escape route in case of failure."
戦う,fight,"He fought until the end."
挑戦,challenge,"He is taking on a new challenge."
敗戦,defeat,"What could be the cause of the defeat?"
戦い,battle,"The long battle is over."
レントゲン,X-ray,"I had an X-ray taken at the hospital."
大戦,great war,"Many people died in the great war."
混ぜる,mix,"Add yogurt to the curry and mix well."
混ざる,mix,"Water and oil don't mix."
混じる,mingle,"The phone call had some noise mixed in."
乱れる,disorder,"The wind messed up my hair."
パンツ,pants,"She looks better in pants than a skirt."
乱す,disturb,"He is disturbing public morals."
統合,integration,"Three towns were merged to form a new city."
統一,unify,"Please unify the font size."
統計,statistics,"This is the sales statistics from last year."
総会,general meeting,"Next month's general meeting will be held in Tokyo."
むける,peel,"The skin peeled off due to sunburn."
総合,comprehensive,"Let's combine everyone's opinions."
総理,Prime Minister,"The Prime Minister is visiting Europe."
総数,total number,"The total number of participants was 705."
捜査,investigation,"The investigation of the murder case lasted two years."
湖,lake,"We skated on the lake."
深める,deepening,"She deepened her understanding of different cultures."
ぶつぶつ,muttering,"He muttered to himself."
深まる,deepening,"Their love is growing deeper and deeper."
注意深い,cautious,"He is a cautious person."
段落,paragraph,"Please read the next paragraph."
見落とす,overlook,"I overlooked a mistake."
落第,failure,"Failing this test means failure."
ぶるぶる,shivering,"He was shivering all over."
波,wave,"The waves are calm today."
流れ,flow,"The flow is faster upstream in the river."
流通,distribution,"Let's study the system of distribution today."
流す,shed,"She shed tears."
中流,midstream,"The village is located midstream of the river."
ボリューム,volume,"Turn up the volume on the radio."
二流,second-rate,"He's still a second-rate entertainer."
流行,fashion,"This style is in fashion this year."
洗面,washbasin,"I forgot my toiletries."
手洗い,hand washing,"Let's wash hands and gargle to avoid catching a cold."
洗面器,washbowl,"I washed my handkerchief in a washbowl."
ちり,dust,"Even dust when piled up becomes a mountain."
沈没,sinking,"The ship sank."
冷え込む,get cold,"It's going to get very cold starting tomorrow."
冷やかす,tease,"His friends teased the couple."
冷凍,freezing,"I froze the leftover curry."
内臓,internal organs,"I'll have my internal organs examined next week."
はげる,peel off,"The paint on the wall is peeling off."
適用,apply,"Does insurance apply in this case?"
適切,appropriate,"He explained it with appropriate words."
適応,adaptation,"He can adapt to any environment."
適する,suitable,"He is suitable for this job."
適当,suitable,"I can't find a suitable answer to that question."
パパ,Papa,"My dad is 36 years old."
適度,moderate,"Moderate exercise is necessary for good health."
染める,dye,"I tried dyeing my hair red."
廃止,abolish,"That system has been abolished."
風景,scenery,"I like mountain scenery."
不景気,recession,"That country seems to be in a recession now."
響く,resonate,"His voice resonates well."
つかむ,grab,"She grabbed my hand."
日光,sunlight,"This room gets a lot of sunlight."
測定,measurement,"We will now measure height and weight."
測る,measure,"Please measure the height of this door."
陽気,cheerful,"She is very cheerful."
もったいない,wasteful,"Leaving food uneaten is wasteful."
プロ野球,professional baseball,"Recently, professional baseball has become more interesting."
電球,light bulb,"The light bulb burned out, so let's replace it."
振り返る,look back,"I nostalgically looked back on my school days."
振り向く,turn around,"She turned around and smiled at me."
振り,swing,"His swing with the bat is too big."
ふざける,joke,"Stop joking around."
秘書,secretary,"My secretary is very competent."
密か,secretly,"I am secretly planning her birthday party."
貴い,precious,"Precious lives were lost in the accident."
追跡,chase,"The police car is chasing the vehicle."
寄せる,bring closer,"I brought the car closer to the fence."
だるい,sluggish,"I felt a little sluggish yesterday due to a cold."
寄る,drop by,"I will drop by my aunt's house on my way back."
近寄る,approach,"Don't approach him."
寄り道,detour,"I will take a detour before heading home today."
寄り集まる,gather,"Artists gather in New York."
歴史的,historic,"Today is a historic day."
宝石,jewel,"My favorite jewel is the diamond."
ちぎる,tear,"Please tear the paper into small pieces."
建て前,pretense,"What we say and what we mean often differ."
単位,unit,"The meter is a unit of length."
地位,status,"She holds a high position in the company."
分離,separation,"A new party separated from the Liberal Democratic Party."
離れる,leave,"I left my parents' house for four years."
ねぎ,green onion,"I added green onions to the miso soup."
離す,release,"Please don't let go of the child's hand."
停電,power outage,"There was a power outage due to the typhoon."
停止,stop,"The machine suddenly stopped."
範囲,range,"Please tell me within the range you know."
隣り合う,adjoin,"The town is adjacent to both the mountains and the sea."
びしょびしょ,soaked,"My clothes got soaked in the rain."
横切る,cross,"A cat crossed right in front of me."
横顔,profile,"Her profile is beautiful."
中断,interruption,"The work was interrupted due to a power outage."
断水,water outage,"There was a water outage for a week due to the earthquake."
油断,carelessness,"A little carelessness can lead to a big accident."
断定,conclusion,"The cause has not yet been determined."
バーゲン,sale,"I bought a suit at the sale yesterday."
継ぐ,succeed,"He succeeded his father's shop."
中継,live broadcast,"The broadcast is coming live from Kyoto."
幅広い,broad,"He has a broad range of knowledge."
幅,width,"Please drive carefully as the road is narrow."
大陸,continent,"Eurasia is the largest continent in the world."
メーター,meters,"The gas company came to check the meter."
着陸,landing,"The plane landed safely."
離陸,takeoff,"The plane will take off soon."
内陸,inland,"He traveled to inland China."
陸上,land,"That animal lives on land."
もしかすると,perhaps,"Perhaps I have met you once before."
南極,Antarctica,"I saw penguins in Antarctica."
北極,Arctic,"There are no penguins in the Arctic."
先端,tip,"Please hold the tip of the stick."
端,edge,"The dictionary is on the edge of the bookshelf."
訪問,visit,"Next week, I will visit my wife's parents' home."
女房,wife,"My wife is at her parents' house."
ちぎれる,tear,"The bag is so heavy that my hand feels like it's going to tear."
内緒,secret,"This is a secret from the manager."
百貨店,department store,"I went shopping at the department store with my friend."
輸送,transport,"This product will be transported by truck."
復活,resurrection,"The player made a comeback after overcoming the injury."
操作,operation,"This mobile phone has simple operations."
にっこり,smile,"She smiled brightly."
体操,gymnastics,"My brother is a gymnastics athlete."
縦,vertical,"Please line up in two vertical rows."
操縦,pilot,"This boat is easy to pilot."
縦書き,vertical writing,"Please write the essay in vertical writing."
滞在,stay,"I stayed in Hokkaido, Japan."
ぱいなっぷる,pineapple,"Please cut this pineapple."
地帯,zone,"This city is an industrial zone."
熱帯,tropical,"The store has tropical fruits."
保守,conservative,"That village preserves its traditions."
見守る,watch over,"Let's watch over her warmly."
留守番,house-sitting,"I am the one staying at home."
ぱんだ,panda,"Pandas eat bamboo."
戻す,return,"Let's return to the previous topic."
取り戻す,regain,"We need to regain the green spaces."
払い戻す,refund,"The airplane ticket cost was refunded."
寝かす,put to bed,"I put the children to bed at 9 o'clock."
寝過ごす,sleep in,"I accidentally overslept."
早寝,early sleep,"Going to bed early is good for your health."
びっしょり,soaked,"I'm soaked with sweat after exercise."
寝かせる,put to bed,"I put the baby to bed."
寝転ぶ,lie down,"I lay down on the embankment and watched the sky."
冷静,calm,"Let's discuss this calmly."
両者,both parties,"Let's listen to the opinions of both parties."
両立,balance,"Balancing study and work is difficult."
ペンチ,pliers,"I will cut the wire with pliers."
両手,both hands,"He clenched both of his hands."
両面,both sides,"There were characters written on both sides of the paper."
側面,side,"This is a photo of the side of the building."
両側,both sides,"There are many shops on both sides of the street."
要項,requirements,"Please carefully read the application requirements."
モダン,modern,"That building is modern."
目印,landmark,"My house is marked by a red roof."
細長い,long and narrow,"Please take that long and narrow stick."
載る,be published,"The teacher's paper was published in the magazine."
積む,load,"Please load the luggage into the car."
面積,area,"How large is the area of this land?"
翻訳,translation,"His translation is very easy to understand."
リクエスト,request,"I sent a request to the radio program."
通訳,interpretation,"I am an interpreter."
申し訳ない,sorry,"I did something wrong, and I am very sorry."
申し訳,apology,"I apologize for the inconvenience."
訂正,correction,"I made a correction to the mistake."
ビーチ,beach,"I went surfing with my friends at the beach."
討論,debate,"We had a debate in class about that issue."
添える,add,"I added a handwritten card to the gift."
添う,meet,"I'm sorry I couldn't meet your expectations."
付近,vicinity,"I saw a suspicious person near the crime scene."
付き合い,relationship,"I will be late today because of a social engagement."
ビタミン,vitamin,"Let's take vitamins every day."
付け加える,add,"I added my own thoughts to the discussion."
付き合う,date,"I have been dating her for about 4 years."
名付ける,name,"I named the kitten Tiger."
付録,appendix,"This month's appendix is an anime DVD."
近付ける,bring closer,"I brought my face closer to the window."
付け足す,add,"Is there anything else you would like to add?"
フライパン,frying pan,"I made a fried egg in a frying pan."
日付け,date,"Today's date is June 19th."
付属,attached,"This software comes with several tools."
属する,belong,"I belong to the city orchestra."
反省,self-reflection,"He is deeply reflecting on his actions."
省く,omit,"Since we don't have time, I will omit the details."
略す,abbreviate,"The United Nations is abbreviated as UN."
略,abbreviation,"Do you know what 'IT' is an abbreviation for?"
大概,generally,"Generally, a cold will get better if you rest."
含める,include,"Ten people, including myself, participated."
含む,contain,"This food contains harmful substances."
たこ,octopus,"An octopus has eight legs."
道順,directions,"Please tell me the directions from my house to the school."
列車,train,"The train entered the platform."
列島,islands,"Japan is an island nation."
列,line,"There was a long line in front of the store."
例外,exception,"There will be no exceptions."
デザート,dessert,"I had cake for dessert."
比例,proportional,"Effort and results are not proportional."
用例,example,"Please explain using examples."
例える,compare,"He compared her to a rose."
例題,example question,"Let's solve an example question together."
例年,annually,"Usually, it doesn't rain much in August."
例え,example,"Giving an example will make the story easier to understand."
とっさに,in a hurry,"I couldn't remember his name in a hurry."
余地,room,"He has no room for excuses."
余計,too much,"Don't say unnecessary things."
余分,extra,"There is extra food prepared."
途中,on the way,"Let's take a 30-minute break on the way."
用途,usage,"I will explain the usage of this tool."
ぬるぬる,slippery,"The eel is slippery."
中途,midway,"I joined the company through a mid-career hiring process."
取り締まり,enforcement,"The enforcement of illegal parking has become stricter."
取り締まる,control,"The police are controlling drunk driving."
緩める,loosen,"I loosened my belt because I ate too much."
緩やか,gradual,"The slope ahead is gradual."
のろい,slow,"This train is really slow."
緩む,loosen,"He is relaxing."
養う,raise,"I am raising three children."
豊か,rich,"He is a person with a rich heart."
富む,rich,"His life is rich in changes."
豊富,abundant,"This fruit is rich in vitamins."
目茶苦茶,chaotic,"His driving is chaotic."
ぴょんぴょん,bouncing,"The frog is bouncing around."
労働者,worker,"The workers are on strike."
労働,work,"They work 7 hours a day."
疲労,fatigue,"His subordinate collapsed from fatigue."
労力,effort,"Work requires time and effort."
貧しい,poor,"He grew up in a poor family."
ブラシ,brush,"I brushed the dog's fur."
乏しい,scarce,"She has little work experience."
貧乏人,poor person,"Sometimes a poor person becomes a millionaire."
不幸せ,unhappy,"No one is as unhappy as he is."
福祉, welfare,"My sister is studying welfare."
マヨネーズ,mayonnaise,"I put mayonnaise on my salad."
模様,pattern,"She is wearing a polka dot skirt."
模範,model,"He is a model student."
農民,farmer,"Farmers in medieval times were poor."
農家,farm,"He was born into a farming family."
農村,village,"I grew up in a rural village."
低気圧,low pressure,"A low pressure system is approaching."
だらしない,untidy,"Please don't dress untidily."
短縮,shorten,"Today's class will be shortened to one hour."
縮める,shorten,"He shortened the time by one second."
縮む,shrink,"The shrinkage of this shirt is terrible."
縮み,shrinkage,"The shrinkage of this shirt is terrible."
縮まる,shrink,"The height difference between my brother and me has shrunk."
とうもろこし,corn,"This corn is sweet and delicious."
伸ばす,stretch,"Let's stretch our muscles."
引き伸ばす,enlarge,"Please enlarge this photo."
追伸,PS,"PS, how is your brother?"
倍,double,"My previous income was double what it is now."
超過,overweight,"This luggage is overweight."
ひらひら,flutter,"The leaves fluttered down."
乗り越える,overcome,"He overcame his sadness and lived strongly."
乗り越し,overstep,"He paid for the overstep with a machine."
乗り越す,overstep,"I dozed off and missed my stop."
抜ける,leave,"He left the group."
抜く,remove,"I removed the cork from the wine."
ぽかぽか,warm,"Today is a pleasantly warm day."
昇る,rise,"The sun rises from the east."
膨らむ,expand,"The cherry blossom buds have expanded."
膨れる,swollen,"My stomach swelled and I became sleepy."
名札,name tag,"Students wear name tags at school."
礼,thanks,"I wrote a thank you letter to my teacher."
よる,depend,"You can't judge a person by their appearance."
反射,reflection,"The car's lights are reflecting."
日程,schedule,"The exam schedule has been announced."
程,limit,"There is a limit to jokes."
優勝,victory,"Our team won the championship."
優秀,outstanding,"He is an outstanding student."
だぶだぶ,baggy,"This shirt is too big, it's baggy."
透明,transparent,"Put the garbage in a transparent bag."
半導体,semiconductor,"Semiconductors are used in various products."
導く,guide,"The teacher guides us."
望む,desire,"He desires to marry me."
望ましい,desirable,"It is desirable to go to bed by 10 PM."
つるつる,slippery,"The floor is slippery."
要望,request,"Please tell me your request."
望み,wish,"My wish is to live abroad."
有望,hopeful,"He is a hopeful employee."
欲望,desire,"He is a person with strong desires."
待ち望む,look forward,"The people of the country are looking forward to peace."
努める,strive,"I will strive to achieve good grades."
トースト,toast,"I eat two slices of toast every morning."
独立,independence,"I became independent from my company the other day."
独特,unique,"His fashion sense is unique, isn't it?"
独り言,muttering,"She always mutters to herself."
身,body,"During the trip, personal safety is the most important."
中身,contents,"Please show me the contents of your bag."
どきっと,startled,"I was startled by the sudden question."
身近,close,"For me, animals are close companions."
身の回り,around me,"I will take care of the things around me."
身なり,appearance,"A well-dressed person entered."
身振り,gestures,"He explained using gestures."
独占,monopoly,"These two companies have a monopoly on the market."
のろのろ,slowly,"The car drove slowly on the snowy road."
仲良く,amicably,"That couple lives together very amicably."
仲良し,close friends,"Those three are close friends, aren't they?"
仲直り,reconciliation,"I made up with my friend after our argument."
仲,relationship,"You two have a good relationship, don't you?"
仲間,companions,"He has many companions."
仲人,matchmaker,"That couple was our matchmaker."
ぴかぴか,shiny,"The new car is shiny."
照らす,illuminate,"The moon is illuminating the garden."
照る,shine,"The sunlight is shining strongly, isn't it?"
夫人,lady,"Mrs. Smith has arrived."
婦人,lady,"The ladies' clothing section is on the fifth floor."
夫妻,married couple,"I had dinner with the CEO and his wife last night."
相互,mutual,"Mutual trust within the team is important."
互い,mutual,"Listen carefully to each other's story."
皆,everyone,"Everyone was happy about my promotion."
我々,we,"Our determination is strong."
我が国,our country,"He is a representative author of our country."
我が家,my home,"Please come visit my home."
年齢,age,"Her age is 27."
恋愛,romance,"She is at an age where she longs for romance."
初恋,first love,"My first love was when I was in elementary school."
誕生,birth,"My daughter was born last month."
ほこり,dust,"This room is full of dust, isn't it?"
延びる,extend,"The construction schedule has been extended by one month."
延ばす,delay,"I delayed my departure by a week."
引き延ばす,prolong,"The host prolonged the conversation."
単純,simple,"He is a simple person."
夢中,enthusiastic,"My child is really into that book."
泣き顔,crying face,"She had a crying face."
ポット,teapot,"The hot water is in the teapot."
笑い,laughter,"That house is filled with laughter."
喜び,joy,"The people were filled with joy."
喜ばす,make happy,"I love making people happy."
恥,shame,"Making mistakes is not something to be ashamed of."
弁論,speech,"I won a speech contest once."
ミュージック,music,"He often listens to soul music."
保護,protection,"Let's protect the environment together."
弁護,defense,"My friend defended me."
保護者,guardian,"I am the guardian of this child."
同士,companions,"He and I are cousins."
弁護士,lawyer,"My father is a lawyer."
ロマンチック,romantic,"She is a romantic person."
否定,deny,"He denied his friend's opinion."
総裁,governor,"That person is the governor of the Bank of Japan."
迷信,superstition,"The people in the village believe in superstitions."
迷子,lost child,"My child got lost."
領域,territory,"Her cooking skills exceed the level of an amateur."
謎,mystery,"There are many mysteries about the pyramid."
わくわく,excited,"I'm excited about the field trip."
著者,author,"The author of this book is British."
著書,work,"His new work was published."
偽物,fake,"What they were selling was fake."
ノーベル賞,Nobel Prize,"A Japanese person won the Nobel Prize."
文化財,cultural property,"This building is a national cultural property."
わさび,wasabi,"Wasabi is essential for sashimi, isn't it?"
預金,deposit,"I have a deposit at this bank."
納得,understand,"I was able to understand with his explanation."
不得意,weak point,"I am not good at mathematics."
得する,benefit,"I found some beneficial information on the internet."
得,benefit,"If you buy this car now, it's a great deal."
チキン,chicken,"Chicken sauté is one of my favorite dishes."
損,loss,"I lost 5000 yen at pachinko."
損害,damage,"The town suffered significant damage from the typhoon."
損する,lose,"I went all the way and ended up losing."
燃料,fuel,"Fuel is leaking from the car."
燃やす,burn,"I burned the old letters."
日焼け,sunburn,"I got a sunburn at the beach."
とじる,close,"Please close the documents in this file."
焼き肉,grilled meat,"He loves grilled meat."
夕焼け,sunset,"The sunset is beautiful today."
焼きそば,stir-fried noodles,"I had yakisoba at the festival."
幹,stem,"The trunk of this tree is very thick."
分散,distribute,"The company has diversified its investments across various countries."
にやにや,smirk,"For some reason, he's smirking."
散らばる,scatter,"There are papers scattered all over the desk."
散る,fall,"The cherry blossoms are falling due to the wind."
散らかる,be messy,"My little brother's room is always messy."
散らかす,make a mess,"Please don't make a mess in the room."
田植え,rice planting,"May is the season for rice planting."
ばら,rose,"I gave a bouquet of roses as a gift."
根,root,"The roots of this tree are very thick."
大根,radish,"A daikon is a long, white vegetable."
まな板,cutting board,"After cutting the fish, I washed the cutting board."
ほうれん草,spinach,"Spinach is rich in vitamins."
話し言葉,spoken language,"Spoken language and written language are slightly different."
パンティー,panties,"I bought white panties."
葉っぱ,leaf,"The maple leaves turned red."
呼び出す,call out,"My parents were called to the school."
取り扱う,handle,"Our store does not handle alcohol."
取り扱い,handling,"Please handle this machine with care."
同級生,classmate,"We are classmates."
中級,intermediate,"He is learning Japanese at an intermediate level."
ふわふわ,fluffy,"I slept on a fluffy futon."
腹,stomach,"I can't move because I'm hungry."
腹一杯,full stomach,"I ate until my stomach was full."
肺,lungs,"He caught a lung disease."
溶ける,melts,"The ice cream melted because of the heat."
溶かす,melts,"The spring sun melted the snow."
容易,easy,"He solved the problem easily."
容器,container,"Please tightly close the lid of the container."
滑らか,smooth,"This fabric has a smooth texture."
分析,analysis,"I am analyzing the current economic movement."
保健,health,"I rested for a while in the infirmary."
もむ,massage,"Please massage my shoulder."
診る,examine,"I was examined by the doctor today."
治療,treatment,"I am receiving dental treatment now."
毒,poison,"Drinking too much is bad for your health."
中毒,poisoning,"Food poisoning occurred at that hotel."
有毒,poisonous,"That factory releases poisonous gases."
ばい菌,bacteria,"Bacteria entered the wound."
不潔,unclean,"If you leave your body unclean, you'll get itchy."
編集,editing,"I work in magazine editing."
追放,exile,"He was exiled from the country."
放射能,radioactivity,"This area was contaminated with radioactivity."
放す,release,"I released the dog at the park."
ぞんざい,rude,"Such a rude way of speaking is not good."
放る,throw,"I threw the ball into the air."
無視,ignore,"His opinion was ignored."
服装,clothing,"Casual clothing is fine for this party."
振り仮名,furigana,"Please add furigana to the name."
銅,copper,"A 10 yen coin is made of copper."
たんす,closet,"I bought a closet yesterday."
悲劇,tragic,"We must not repeat that tragedy."
団体,group,"Soccer is a team sport."
団地,apartment complex,"My younger brother lives in an apartment complex."
美術,art,"My younger brother majors in art."
博士,doctor,"He is a doctor of physics."
チェンジ,change,"I changed gears on the hill."
展開,development,"I can't keep up with the development of the story."
発展,development,"That company is developing rapidly."
催す,hold,"The quiet music made me feel sleepy."
催し,event,"I participated in the school's event."
典型的,typical,"She is a typical Italian."
つかまる,catch,"Please hold on tightly."
典型,model,"He is the model of a craftsman."
百科事典,encyclopedia,"I looked up information about rare cats in the encyclopedia."
特殊,special,"He has special abilities."
微妙,subtle,"He is in a subtle position at the company."
免税,duty-free,"This product is duty-free."
つながり,connection,"The connection in this sentence is strange."
免許,license,"I finally got my driver's license."
動詞,verb,"'Taberu' is a verb."
名詞,noun,"'Gakkou' is a noun."
副詞,adverb,"'Yukkuri' in 'yukkuri aruku' is an adverb."
代名詞,pronoun,"'Kare' is a pronoun."
つながる,connect,"The phone is not connecting."
伝統,tradition,"I value Japanese traditions."
伝わる,transmit,"Kanji was transmitted from China."
伝説,legend,"He left many legends behind."
手伝い,help,"We need help with the meeting preparation."
伝言,message,"There is a message from the manager."
伝染,contagion,"Cholera contagion is spreading in that country."
つばめ,swallow,"There is a swallow flying."
焼き鳥,grilled chicken,"Grilled chicken goes well with beer."
鳴らす,ring,"The monk is ringing the bell."
悲鳴,scream,"I heard a scream from outside."
笑い声,laughter,"I heard laughter coming from the room."
泣き声,cry,"I can hear the baby's cry."
つぶやく,whisper,"He was muttering something to himself."
話し声,voice,"I can hear talking from the next room."
駐車,parking,"Please park the car here."
騒音,noise,"I can hear car noise coming through the window."
騒動,commotion,"The police came and calmed the commotion."
騒々しい,noisy,"The house next door is always noisy."
つぶる,close,"Please close your eyes."
名刺,business card,"We exchanged business cards."
到着,arrival,"We arrived in Tokyo at 9 PM."
到達,reach,"We finally reached the summit."
倒産,bankruptcy,"The company went bankrupt."
面倒,trouble,"I had trouble at work."
斜め,diagonal,"Please draw a diagonal line here."
つぼみ,bud,"The flowers have a lot of buds."
張る,stretch,"I'm tired, my shoulders are tight."
張り切る,enthusiastic,"My mom eagerly prepared the lunch."
欲張り,greedy,"She is greedy."
突然,suddenly,"He suddenly ran off."
つまずく,trip,"I tripped over a stone."
突っ込む,ram,"I shoved my wallet into my pocket."
突く,poke,"He skillfully pokes the billiard ball."
追突,collide,"The bus collided with a passenger car."
触れる,touch,"Our hands touched and it made my heart race."
避難,evacuate,"Please evacuate, it's dangerous."
ツル,crane,"There are cranes in the lake."
墜落,crash,"There was an airplane crash."
