expression,meaning,sentence_translation
資金,Kapital / Finanzierung,"Sie sammeln Kapital für das neue Projekt."
投資,Investition,"Er investiert in Immobilien."
願う,hoffen / wünschen,"Ich hoffe von Herzen auf Erfolg."
正確,genau / präzise,"Seine Uhr ist genau."
レモン,Zitrone,"Ich gebe Zitrone in meinen Tee."
正しい,richtig / korrekt,"Bitte wählen Sie die richtige Antwort."
正月,Neujahr,"In Japan essen die Leute zu Neujahr Mochi."
正直,ehrlich,"Er ist eine sehr ehrliche Person."
異なる,sich unterscheiden,"Die Kulturen unterscheiden sich je nach Land."
チーズ,Käse,"Ich mag Käsekuchen."
通常,gewöhnlich / normalerweise,"Normalerweise stehe ich um sieben Uhr morgens auf."
非常に,sehr / äußerst,"Er ist ein äußerst begabter Schüler."
調べる,untersuchen / nachschlagen,"Ich recherchiere Informationen im Internet."
強調,betonen / hervorheben,"Er hat den wichtigen Punkt betont."
ドライブ,Fahrt / Ausflug,"Am Wochenende haben wir einen Ausflug gemacht."
季節,Jahreszeit,"In Japan gibt es vier Jahreszeiten."
調査,Untersuchung,"Wir untersuchen den neuen Markt."
提供,Angebot / Bereitstellung,"Dieses Restaurant bietet köstliche Gerichte an."
提案,Vorschlag,"Ich habe eine neue Idee vorgeschlagen."
ラケット,Schläger,"Ich habe einen neuen Tennisschläger gekauft."
案内,Führung / Anleitung,"Ich führe Sie zu den Sehenswürdigkeiten."
示す,zeigen / aufzeigen,"Die Daten zeigen das Ergebnis."
連れて行く,mitnehmen / begleiten,"Ich nehme den Hund zum Spazierengehen mit."
連れて来る,mitbringen,"Ich habe einen Freund mit nach Hause gebracht."
スチュワーデス,Flugbegleiterin,"Ich habe die Flugbegleiterin nach einem Getränk gefragt."
続ける,fortsetzen / weitermachen,"Er setzt sein Studium fort."
相手,Gegner / Partner,"Ich habe gegen einen starken Gegner gespielt."
会談,Gespräch / Konferenz,"Sie hielten eine Konferenz über den Frieden ab."
相談,Beratung / Besprechung,"Ich habe ihn um Rat gefragt."
テープレコーダー,Kassettenrekorder,"Ich habe das Gespräch mit dem Kassettenrekorder aufgenommen."
記者,Journalist / Reporter,"Der Journalist hat ihn befragt."
記録,Aufzeichnung,"Seine Bemühungen sind in den Aufzeichnungen festgehalten."
録音,Aufnahme,"Ich habe ihre Stimme aufgenommen."
登る,klettern / steigen,"Ich klettere auf den Berg."
ひげ,Bart / Schnurrbart,"Er hat seinen Bart rasiert."
関する,betreffend / im Zusammenhang mit,"Ich sammle Material zu diesem Thema."
関連,Zusammenhang,"Diese Daten stehen im Zusammenhang mit seiner Forschung."
関係,Beziehung / Verbindung,"Er ist nicht in diesen Vorfall verwickelt."
状況,Situation,"Bitte erklären Sie die aktuelle Situation."
ぐっすり,tief / fest (schlafen),"Ich habe letzte Nacht tief und fest geschlafen."
状態,Zustand,"Das Zimmer wird in sauberem Zustand gehalten."
治る,heilen / genesen,"Seine Krankheit ist geheilt."
政治,Politik,"Er ist an Politik interessiert."
治す,heilen / reparieren,"Sie hat die Verletzung geheilt."
ソース,Soße,"Dieses Gericht verwendet eine spezielle Soße."
政府,Regierung,"Die japanische Regierung arbeitet an diesem Problem."
党,Partei,"Er ist ein Unterstützer dieser Partei."
対策,Maßnahme,"Die Regierung hat neue Maßnahmen angekündigt."
政策,Politik / Strategie,"Neue wirtschaftliche Strategien sind notwendig."
タイプライター,Schreibmaschine,"Früher benutzte man Schreibmaschinen."
選ぶ,wählen,"Ich habe dieses Buch ausgewählt."
選手,Spieler / Athlet,"Dieser Spieler ist sehr bekannt."
選挙,Wahl,"Nächsten Monat findet die Wahl statt."
候補,Kandidat,"Er ist der nächste Bürgermeisterkandidat."
トマト,Tomate,"Tomaten sind rot und lecker."
首相,Premierminister,"Der Premierminister hat eine Rede gehalten."
首都,Hauptstadt,"Die Hauptstadt Japans ist Tokio."
改革,Reform,"Reformen im Bildungssystem sind notwendig."
革,Leder,"Diese Tasche besteht aus echtem Leder."
バター,Butter,"Ich habe Butter auf das Brot gestrichen."
命令,Befehl / Anweisung,"Er hat den Befehl befolgt."
番組,Sendung / Programm,"Dieses Programm ist sehr interessant."
組み立てる,zusammenbauen,"Er baut Möbel zusammen."
組織,Organisation,"Diese Organisation hat großen Einfluss."
バレーボール,Volleyball,"Ich spiele gerne Volleyball."
進める,vorantreiben,"Lass uns das Projekt vorantreiben."
進む,vorwärts gehen,"Bitte gehen Sie geradeaus weiter."
進学,Hochschulzugang,"Er ist auf die Universität gegangen."
拡大,Vergrößerung / Ausdehnung,"Bitte vergrößern Sie das Bild."
責任,Verantwortung,"Ich bin für diese Arbeit verantwortlich."
辞める,aufhören / kündigen,"Er hat seine Arbeit gekündigt."
辞書,Wörterbuch,"Ich benutze ein japanisches Wörterbuch."
通勤,Pendeln,"Ich pendle jeden Morgen mit dem Zug."
カレンダー,Kalender,"Ein Kalender hängt an der Wand."
勤める,arbeiten,"Er arbeitet in einer Bank."
事務所,Büro,"Er arbeitet in einem Büro."
事務室,Verwaltungsbüro,"Das Meeting findet im Verwaltungsbüro statt."
従来,bisher / traditionell,"Die bisherige Methode wurde überarbeitet."
ハンドバッグ,Handtasche,"Ich habe eine neue Handtasche gekauft."
成績,Leistung / Note,"Er hat gute Leistungen in der Schule erzielt."
集める,sammeln,"Sie sammelt Briefmarken."
集まる,sich versammeln,"Die Leute versammeln sich im Park."
採用,Anstellung / Verwendung,"Er wurde in einem neuen Unternehmen eingestellt."
ベル,Glocke,"Die Glocke hat geläutet."
給料,Gehalt,"Sein Gehalt wurde erhöht."
卒業,Abschluss,"Er hat die Universität abgeschlossen."
就職,Arbeitsaufnahme,"Er hat einen Job bei einem großen Unternehmen bekommen."
退院,Entlassung aus dem Krankenhaus,"Er wurde gestern aus dem Krankenhaus entlassen."
インク,Tinte,"Dieser Drucker benötigt Tinte."
契約,Vertrag,"Ein neuer Vertrag wurde abgeschlossen."
交渉,Verhandlung,"Er ist gut in Verhandlungen."
事件,Ereignis / Fall / Vorfall,"Dieser Vorfall war in den Nachrichten."
条件,Bedingung,"Ich denke über die Bedingungen für Erfolg nach."
クーラー,Klimaanlage,"Im Sommer braucht man eine Klimaanlage."
参加,Teilnahme,"Er nahm an der Besprechung teil."
増加,Zunahme,"Die Bevölkerung nimmt zu."
加える,hinzufügen,"Ich habe einen neuen Namen zur Liste hinzugefügt."
加工,Verarbeitung,"Dieses Material wurde verarbeitet."
ミルク,Milch,"Ich trinke jeden Morgen Milch."
比べる,vergleichen,"Vergleiche dich nicht mit ihm."
批判,Kritik,"Seine Meinung wird kritisiert."
評価,Bewertung,"Dieser Film wird hoch bewertet."
対象,Zielgruppe,"Dieses Produkt richtet sich an Kinder."
サラダ,Salat,"Ich habe Salat zum Mittag gegessen."
故障,Panne / Defekt,"Das Auto hatte eine Panne."
修理,Reparatur,"Ich habe meinen Computer repariert."
乗り換える,umsteigen,"Ich steige an der nächsten Station in einen anderen Zug um."
乗り換え,Umstieg,"Ein Umstieg ist an dieser Station erforderlich."
換える,wechseln,"Ich habe die alten Batterien durch neue ersetzt."
着替える,sich umziehen,"Ich ziehe mich nach der Arbeit um."
被る,tragen (auf dem Kopf),"Er trug einen Hut, als er wegging."
破る,brechen / zerreißen,"Er hat sein Versprechen gebrochen."
ベルト,Gürtel,"Ich habe einen neuen Gürtel gekauft."
破れる,zerreißen,"Das Papier ist zerrissen."
壊す,zerstören,"Er hat das Spielzeug zerstört."
壊れる,kaputtgehen,"Der Fernseher ist kaputt."
救急車,Rettungswagen,"Ich habe einen Rettungswagen gerufen."
ラーメン,Ramen,"Ich habe Ramen zum Abendessen gegessen."
助ける,helfen / retten,"Er hat seinem Freund geholfen."
立派,wunderbar / großartig,"Er lebt in einem großartigen Haus."
警察,Polizei,"Ich habe die Polizei benachrichtigt."
ライター,Feuerzeug,"Ich habe ein neues Feuerzeug gekauft."
盗む,stehlen,"Sein Geldbeutel wurde gestohlen."
殺す,töten,"Er hat ein Insekt getötet."
逮捕,Verhaftung,"Er wurde verhaftet."
ワイシャツ,Hemd,"Ich habe ein neues Hemd getragen."
戦争,Krieg,"Der Krieg ist beendet."
競争,Wettbewerb,"Er hat den Wettbewerb gewonnen."
混む・込む,voll werden / überfüllt sein,"Dieses Geschäft ist überfüllt."
大統領,Präsident,"Der Präsident hielt eine Rede."
シャワー,Dusche,"Ich nehme morgens eine Dusche."
捨てる,wegwerfen,"Er hat alte Kleidung weggeworfen."
拾う,aufheben,"Ich habe auf der Straße eine Geldbörse gefunden."
池,Teich,"Im Park gibt es einen großen Teich."
電池,Batterie,"Ich habe neue Batterien gekauft."
深い,tief,"Dieser Fluss ist sehr tief."
深さ,Tiefe,"Ich messe die Tiefe dieses Teichs."
浅い,flach,"Dieser Fluss ist flach."
落とす,fallen lassen,"Er hat seinen Schlüssel fallen lassen."
ごみ,Müll,"Bitte trennen Sie den Müll."
泳ぐ,schwimmen,"Ich schwimme im Sommer im Meer."
水泳,Schwimmen,"Er ist gut im Schwimmen."
流れる,fließen,"Das Wasser des Flusses fließt."
流行る,in Mode sein / beliebt sein,"Dieses Lied ist beliebt."
スーパーマーケット,Supermarkt,"Ich kaufe Obst im Supermarkt."
洗う,waschen,"Bitte wasche deine Hände."
洗面所,Waschraum / Badezimmer,"Ich wasche mein Gesicht im Waschraum."
油,Öl,"Ich benutze Öl zum Kochen."
沈む,sinken / untergehen,"Die Sonne geht unter."
ハンカチ,Taschentuch / Stofftaschentuch,"Ich habe mein Taschentuch vergessen."
久しぶり,nach langer Zeit,"Ich habe lange nicht mehr meinen Freund getroffen."
氷,Eis / Eiswürfel,"Ich gebe Eis in ein Glas."
冷える,abkühlen / kalt werden,"Es wird nachts kalt."
冷やす,kühlen,"Ich habe das Getränk im Kühlschrank gekühlt."
ビデオテープ,Videokassette,"Ich habe eine alte Videokassette gefunden."
冷める,abkühlen,"Die Suppe ist abgekühlt."
凍る,einfrieren / gefrieren,"Der See ist gefroren."
冷蔵庫,Kühlschrank,"Es gibt Milch im Kühlschrank."
涼しい,kühl / angenehm kühl,"Heute ist es angenehm kühl."
ぶらぶら,schlendern / ziellos herumlaufen,"Ich bin durch den Park geschlendert."
汚す,schmutzig machen,"Ich habe meine Kleidung schmutzig gemacht."
汚れ,Flecken / Schmutz,"Dieses Kleid hat einen Fleck."
汚れる,schmutzig werden,"Meine Schuhe sind schmutzig geworden."
景色,Landschaft / Aussicht,"Die Aussicht von hier ist sehr schön."
アナウンサー,Ansager / Sprecher,"Er ist ein Nachrichtensprecher im Fernsehen."
影響,Einfluss,"Das Wetter hat Einfluss auf die Landwirtschaft."
太る,zunehmen / dick werden,"Ich habe in letzter Zeit etwas zugenommen."
太陽,Sonne,"Die Sonne scheint hell."
スプーン,Löffel,"Ich esse Suppe mit einem Löffel."
星,Stern,"Viele Sterne sind am Himmel sichtbar."
地球,Erde / Planet,"Die Erde ist der blaue Planet."
野球,Baseball,"Er ist gut im Baseball."
雲,Wolke,"Am Himmel gibt es dunkle Wolken."
ブラウス,Bluse,"Ich habe eine neue Bluse gekauft."
曇り,bewölkt / wolkig,"Es ist heute ein bewölkter Himmel."
地震,Erdbeben,"Letzte Nacht gab es ein starkes Erdbeben."
震える,zittern / beben,"Ich zittere vor Kälte."
振る,schwenken / winken,"Er hat mit der Hand gewunken."
リボン,Band / Schleife,"Ich habe eine Schleife auf das Geschenk gemacht."
揺れる,schwanken / schütteln,"Das Haus hat durch das Erdbeben geschwankt."
神社,Schrein / Shinto-Schrein,"Ich habe im Schrein gebetet."
秘密,Geheimnis,"Bitte behalte das für dich als ein Geheimnis."
厳しい,streng / hart,"Die Regeln in dieser Schule sind streng."
年寄り,ältere Person / Senior,"Er ist ein freundlicher älterer Herr."
歴史,Geschichte,"Ich lerne die Geschichte Japans."
世紀,Jahrhundert,"Das 21. Jahrhundert ist die Ära der Technologie."
建設,Bau / Konstruktion,"Eine neue Brücke wird gebaut."
ステレオ,Stereoanlage,"Ich höre Musik auf der Stereoanlage."
建物,Gebäude,"Dieses Gebäude hat eine lange Geschichte."
建つ,erbaut werden,"Ein neues Haus wurde erbaut."
構成,Struktur / Komposition,"Dieser Text ist gut strukturiert."
構造,Konstruktion / Aufbau,"Die Konstruktion dieses Gebäudes ist komplex."
フォーク,Gabel,"Ich esse Salat mit einer Gabel."
柱,Säule,"Diese Säule stützt das Haus."
位置,Position / Lage,"Die Lage dieses Gebäudes ist praktisch."
離婚,Scheidung,"Sie haben sich scheiden lassen."
停車,Anhalten / Halt,"Der Zug hat angehalten."
バス停,Bushaltestelle,"Ich warte an der Bushaltestelle."
周辺,Umgebung / Umgebung,"Es gibt viele Geschäfte in dieser Umgebung."
きらきら,Funkelnd / Glänzend,"Die Sterne funkeln am Himmel."
黄色,Gelb,"Sein Hemd ist gelb."
横,Seite / Horizontal,"Das Buch liegt neben dem Schreibtisch."
横書き,Waagerechtes Schreiben,"Ich schreibe Japanisch waagerecht."
判断,Urteil / Entscheidung,"Sein Urteil ist korrekt."
どうぞ,Bitte / Gerne,"Bitte treten Sie ein."
断る,Ablehnen / Verweigern,"Er hat den Vorschlag abgelehnt."
横断歩道,Zebrastreifen / Fußgängerüberweg,"Ich überquere den Zebrastreifen."
大幅,Beträchtlich / Wesentlich,"Der Plan wurde erheblich geändert."
訪れる,Besuchen,"Er hat Kyoto besucht."
ネックレス,Halskette,"Er hat ihr eine Halskette geschenkt."
訪ねる,Besuchen,"Ich habe meinen Freund besucht."
冷房,Klimaanlage,"Die Klimaanlage funktioniert."
暖房,Heizung,"Bitte schalte die Heizung ein."
文房具,Schreibwaren,"Ich habe ein Notizbuch im Schreibwarenladen gekauft."
パジャマ,Schlafanzug,"Vor dem Schlafen habe ich mich in meinen Schlafanzug umgezogen."
諸国,Verschiedene Länder,"Er ist durch verschiedene Länder gereist."
緑色,Grün,"Ich mag grüne Hüte."
貿易,Handel,"Japan hat einen aktiven Handel."
輸入,Import,"Japan importiert viele Lebensmittel."
ボールペン,Kugelschreiber,"Bitte schreiben Sie Ihren Namen mit einem Kugelschreiber."
輸出,Export,"Japan exportiert viele Autos."
指輪,Ring,"Er hat ihr einen Ring geschenkt."
往復,Hin- und Rückfahrt,"Ich habe ein Hin- und Rückfahrtticket gekauft."
復習,Wiederholung / Revue,"Ich wiederhole den Stoff aus dem Unterricht."
すいか,Wassermelone,"Im Sommer esse ich gerne Wassermelonen."
繰り返す,Wiederholen,"Er hat die Frage wiederholt."
留学,Auslandsstudium,"Er studiert in Amerika."
停留所,Haltestelle,"Ich warte an der Bushaltestelle auf den Bus."
書留,Einschreiben,"Ich schicke wichtige Dokumente per Einschreiben."
そちら,Da drüben / Dort,"Ich komme dort hin."
守る,Schützen / Einhalten,"Ich halte mein Versprechen."
留守,Abwesenheit,"Während meiner Abwesenheit kam ein Brief an."
住宅,Wohnung / Wohngegend,"Dieses Gebiet ist ein Wohngebiet."
自宅,Eigenes Zuhause,"Er ist zu Hause."
そば,Neben / In der Nähe,"Ich wohne in der Nähe des Parks."
お宅,Ihr Zuhause (höflich),"Wo wohnen Sie?"
早起き,Frühes Aufstehen,"Frühes Aufstehen ist gut für die Gesundheit."
昼寝,Mittagsschlaf,"Ich liebe Mittagsschläfchen."
静か,Ruhig / Still,"Die Bibliothek ist ruhig."
どっち,Welche Seite / Welcher,"Welche wählst du?"
暇,Freizeit / Zeit,"Ich sehe mir in meiner Freizeit Filme an."
趣味,Hobby / Interesse,"Mein Hobby ist das Lesen."
両方,Beide,"Ich kaufe beide."
両替,Geldwechsel,"Ich habe am Flughafen Geld gewechselt."
バスケットボール,Basketball,"Ich bin gut im Basketball."
両親,Eltern,"Meine Eltern sind auf Reisen."
片道,Einfache Fahrt,"Ich habe ein Ticket für eine einfache Fahrt gekauft."
内側,Innenseite,"Diese Tür öffnet sich von innen."
向こう側,Gegenseite,"Ich möchte auf die andere Seite des Flusses gehen."
サンドイッチ,Sandwich,"Zum Mittagessen esse ich ein Sandwich."
外側,Außenseite,"Die Farbe auf der Außenseite blättert ab."
左側,Linke Seite,"Auf der linken Seite befindet sich ein Park."
右側,Rechte Seite,"Bitte gehen Sie auf dem rechten Weg weiter."
にこにこ,Lächeln,"Sie lächelt immer."
裏返す,Umdrehen,"Bitte drehen Sie das Papier um."
週刊誌,Wochenzeitschrift,"Ich abonniere eine Wochenzeitschrift."
朝刊,Morgenzeitung,"Ich habe die Morgenzeitung gelesen."
夕刊,Abendzeitung,"Die Abendzeitung wurde noch nicht geliefert."
ウール,Wolle,"Dieser Pullover ist aus Wolle gefertigt."
詳しい,Detailliert,"Bitte geben Sie eine detaillierte Erklärung."
細かい,Kleinlich / Kleinteilig,"Ich habe kein Kleingeld."
細か,Details,"Bei dieser Arbeit sind Details wichtig."
積もる,Sich anhäufen,"Der Schnee hat sich angehäuft."
コーラ,Cola,"Eine Flasche Cola, bitte."
訳,Übersetzung,"Bitte erklären Sie die Übersetzung dieses Satzes."
訳す,Übersetzen,"Er hat den Text vom Japanischen ins Englische übersetzt."
検討,Prüfen / Überlegen,"Wir prüfen den neuen Plan."
塗る,Streichen / Malen,"Er streicht die Wand mit Farbe."
トイレットペーパー,Toilettenpapier,"Das Toilettenpapier ist alle."
付く,Haften / Befestigt sein,"Es ist ein Fleck auf der Kleidung."
付ける,Anmachen / Anbringen,"Bitte schalten Sie das Licht an."
受け付ける,Annehmen,"Wir nehmen Anmeldungen entgegen."
片付ける,Aufräumen,"Ich habe mein Zimmer aufgeräumt."
どなた,Wer (höflich),"Wer hat dieses Buch hier gelassen?"
受付,Empfang / Rezeption,"Der Empfang befindet sich im Erdgeschoss."
近付く,Näher kommen,"Der Zug nähert sich dem Bahnhof."
片付く,Aufgeräumt werden,"Das Gepäck wurde aufgeräumt."
気を付ける,Aufpassen,"Bitte passen Sie auf die Autos auf."
ハイキング,Wandern,"Ich gehe am Wochenende wandern."
貼る,Kleben,"Ich habe ein Poster an die Wand geklebt."
記念日,Jahrestag,"Heute ist unser Hochzeitstag."
残念,Bedauerlich,"Es ist schade, dass wir das Spiel verloren haben."
例えば,Zum Beispiel,"Zum Beispiel eine Person wie er."
ハム,Schinken,"Ich habe Schinken ins Sandwich gelegt."
例文,Beispielsatz,"Bitte lesen Sie den Beispielsatz."
例,Beispiel,"Ich werde ein Beispiel geben und es erklären."
余る,Übrig bleiben,"Es blieb Essen übrig."
除く,Entfernen,"Ich entferne unnötige Informationen."
ボーイフレンド,Freund,"Sie hat einen Freund."
削る,Spitzen / Schärfen,"Ich habe den Bleistift gespitzt."
遅刻,Verspätung,"Ich bin zu spät zum Unterricht gekommen."
緩い,Locker,"Diese Schraube ist locker."
苦しい,Schmerzhaft / Qualvoll,"Er hatte eine schmerzhafte Erfahrung."
アイロン,Bügeleisen,"Ich habe das Hemd gebügelt."
苦い,Bitter,"Diese Medizin schmeckt bitter."
苦手,Schwachpunkt,"Ich bin schlecht in Mathematik."
困る,Probleme haben / in Schwierigkeiten sein,"Ich habe zu viele Hausaufgaben und weiß nicht weiter."
貧乏,arm / mittellos,"Er war arm, aber jetzt ist er erfolgreich."
カレーライス,Curry-Reis,"Ich mag Curry-Reis."
不幸,Unglück / Pech,"Es gab ein unglückliches Ereignis."
幸せ,Glück / glücklich,"Ich habe eine glückliche Zeit verbracht."
塩,Salz,"Bitte fügen Sie Salz zum Gericht hinzu."
塩辛い,salzig,"Diese Suppe ist ein wenig salzig."
キャッシュカード,Bankkarte,"Haben Sie eine Bankkarte?"
砂糖,Zucker,"Ich gebe Zucker in meinen Kaffee."
規模,Ausmaß / Maßstab,"Dieses Unternehmen ist für ein groß angelegtes Projekt verantwortlich."
農業,Landwirtschaft,"Die Landwirtschaft ist eine wichtige Branche."
濃い,dickflüssig / stark / intensiv,"Dieser Tee ist sehr stark."
イヤリング,Ohrhänger,"Ihre Ohrringe sind wunderschön."
薄い,dünn / leicht / schwach,"Dieser Stoff ist sehr dünn."
厚い,dick / tiefgründig / umfangreich,"Dieses Buch ist sehr dick."
厚さ,Dicke / Stärke,"Die Dicke dieses Glases beträgt 5 Millimeter."
迫る,sich nähern / drängen,"Die Deadline rückt näher."
ガールフレンド,Freundin,"Er hat eine wunderbare Freundin."
伸びる,wachsen / sich strecken,"Er ist wieder gewachsen."
越える,überschreiten / passieren,"Ich bin über den Berg in die neue Stadt gekommen."
カセットテープ,Kassette,"Früher haben wir Kassetten benutzt."
追い越す,überholen,"Er hat das Auto überholt."
上昇,Anstieg / Erhöhung,"Die Preise steigen."
改札口,Fahrkartenkontrolle,"Ich warte am Eingang der Fahrkartenkontrolle."
失礼,unhöflich / Entschuldigung,"Sein Verhalten war unhöflich."
かゆい,jucken / kratzen,"Mein Rücken juckt."
お礼,Dankbarkeit / Dank,"Ich habe mich für das Geschenk bedankt."
謝る,sich entschuldigen,"Er hat sich sofort entschuldigt."
注射,Spritze / Injektion,"Ich habe eine Spritze bekommen."
程度,Grad / Ausmaß,"Sein Japanisch ist auf mittlerem Niveau."
ぐらぐら,wackelig / instabil,"Das Gebäude wackelte beim Erdbeben."
誘う,einladen / auffordern,"Ich habe einen Freund ins Kino eingeladen."
導入,Einführung / Implementierung,"Ein neues System wurde eingeführt."
努力,Bemühung / Anstrengung,"Seine Bemühungen haben sich ausgezahlt."
怒る,wütend werden / sich ärgern,"Er wird wegen kleiner Dinge wütend."
ジャム,Marmelade,"Ich esse Marmelade zum Frühstück."
独身,ledig / unverheiratet,"Er ist ledig."
占める,einnehmen / ausmachen,"Diese Region macht 30 % des Marktes aus."
処理,Verarbeitung / Bearbeitung,"Die Daten wurden schnell verarbeitet."
紹介,Vorstellung / Einführung,"Ich habe ihn meinen Freunden vorgestellt."
スリッパ,Hausschuhe,"Bitte ziehen Sie Hausschuhe an."
招く,einladen / verursachen,"Er hat seine Freunde nach Hause eingeladen."
招待,Einladung,"Ich habe sie zur Party eingeladen."
夫婦,Ehepaar,"Sie sind ein glückliches Ehepaar."
奥,hinten / Inneres,"Im hinteren Teil des Zimmers befindet sich eine Kiste."
トランプ,Kartenspiel,"Wir haben als Familie Karten gespielt."
奥さん,Ehefrau,"Seine Frau ist sehr freundlich."
皆さん,alle / meine Damen und Herren,"Vielen Dank, meine Damen und Herren."
皆様,alle (höflich),"Ich habe eine Ankündigung für Sie alle."
誰か,jemand / irgendeine Person,"Hat jemand diesen Stift vergessen?"
よろしい,gut / in Ordnung,"Ist dieser Platz in Ordnung?"
国籍,Nationalität,"Seine Nationalität ist Japanisch."
愛,Liebe,"Liebe rettet die Welt."
可愛い,niedlich / süß,"Der Welpe ist sehr niedlich."
恋人,Partner / Geliebter,"Sie ist meine Partnerin."
ラッシュアワー,Hauptverkehrszeit,"Die Hauptverkehrszeit ist überfüllt."
誕生日,Geburtstag,"Heute ist mein Geburtstag."
祝日,Feiertag,"Heute ist ein Feiertag."
お祝い,Feier / Gratulation,"Wir haben seinen Erfolg gefeiert."
カップ,Tasse / Becher,"Bitte geben Sie mir eine Kaffeetasse."
泣く,weinen,"Sie weinte, weil sie traurig war."
涙,Tränen,"Ich war so bewegt, dass ich Tränen vergoss."
喜ぶ,sich freuen,"Er freute sich über die Nachricht."
恥ずかしい,peinlich / beschämt,"Es ist mir peinlich, darüber zu sprechen."
スケート,Eislaufen,"Lass uns zum Eislaufen gehen."
弁当,Bento-Box,"Ich esse zum Mittag eine Bento-Box."
看護婦,Krankenschwester,"Die Krankenschwester war sehr freundlich."
患者,Patient,"Ein Patient kam ins Krankenhaus."
述べる,äußern / erklären,"Er äußerte seine Meinung."
たくさん,viele / eine Menge,"Es gibt viele Bücher."
訴える,klagen / verklagen,"Sie verklagte die Firma."
迷う,sich verlaufen / zögern,"Ich habe mich verlaufen."
迷惑,Belästigung / Unannehmlichkeit,"Entschuldigung für die Unannehmlichkeiten."
地域,Region,"Diese Region ist sehr ruhig."
ピクニック,Picknick,"Am Sonntag gehen wir zum Picknick."
政権,Regierung / Regime,"Eine neue Regierung wurde gebildet."
贈る,schenken,"Ich habe einem Freund ein Geschenk gemacht."
贈り物,Geschenk,"Dieses Geschenk ist von ihm."
与える,geben / gewähren,"Er bekam eine Chance."
貯金,Ersparnisse,"Ich spare jeden Monat ein wenig."
預ける,anvertrauen / hinterlegen,"Ich habe das Gepäck abgegeben."
預かる,aufbewahren / übernehmen,"Ich habe das Kind für einen Tag betreut."
得意,stark / gut in etwas,"Er ist gut in Englisch."
どきどき,aufgeregt / nervös,"Er ist nervös und sein Herz klopft."
燃える,brennen,"Das Haus brennt."
焼ける,gebacken werden,"Das Brot ist fertig gebacken."
すき焼き,Feuertopf (japanisches Gericht),"Lass uns Sukiyaki essen."
焼く,backen / grillen,"Ich grille Fisch."
まあまあ,so lala / geht so,"Es schmeckt ganz okay."
乾く,trocknen,"Die Wäsche ist trocken."
乾杯,Prost,"Lass uns alle zusammen anstoßen."
乾かす,trocknen (etwas),"Ich föhne meine Haare."
新幹線,Schnellzug (Shinkansen),"Ich fahre mit dem Shinkansen nach Tokio."
マフラー,Schal,"Es ist kalt, also trage ich einen Schal."
素晴らしい,wunderbar,"Das ist eine wunderbare Aussicht."
海岸,Küste,"Ich habe an der Küste einen Spaziergang gemacht."
家庭,Familie / Haushalt,"Ich koche zu Hause."
庭,Garten,"Ich habe Blumen im Garten gepflanzt."
アクセサリー,Schmuck,"Ich habe neuen Schmuck gekauft."
桜,Kirsche / Kirschblüte,"Die Kirschblüten blühen."
咲く,blühen,"Die Blumen sind aufgeblüht."
吹く,blasen / wehen,"Der Wind weht."
散歩,Spaziergang,"Ich mache einen Spaziergang im Park."
植える,pflanzen,"Ich habe Blumen im Garten gepflanzt."
屋根,Dach,"Schnee hat sich auf dem Dach angesammelt."
黒板,Tafel,"Bitte schreiben Sie Ihren Namen auf die Tafel."
掲示板,Schwarzes Brett,"Informationen wurden am Schwarzen Brett angebracht."
からから,ausgetrocknet / durstig,"Ich habe einen trockenen Hals."
葉,Blatt,"Die Blätter fallen von den Bäumen."
絵葉書,Ansichtskarte,"Ich sende eine Ansichtskarte von meinem Reiseziel."
葉書,Postkarte,"Ich werde per Postkarte Kontakt aufnehmen."
ふらふら,schwanken / wackeln,"Ich bin müde und fühle mich wackelig."
吸う,einatmen / rauchen,"Bitte rauchen Sie nicht."
普及,Verbreitung,"Smartphones verbreiten sich."
胃,Magen,"Ich habe Magenschmerzen."
皿,Teller,"Ich spüle die Teller."
こぼす,verschütten,"Ich habe den Saft verschüttet."
血,Blut,"Mein Finger blutet."
内容,Inhalt,"Der Inhalt dieses Buches ist schwierig."
背景,Hintergrund,"Der Hintergrund des Gemäldes ist wunderschön."
骨,Knochen,"Achten Sie auf die Gräten des Fisches."
ランチ,Mittagessen,"Ich gehe mit einem Freund zum Mittagessen."
滑る,rutschen,"Ich bin auf dem Eis ausgerutscht."
折れる,brechen,"Ein Ast ist abgebrochen."
折る,falten / brechen,"Ich falte das Papier in zwei Hälften."
健康,Gesundheit,"Gesundheit ist das Wichtigste."
レシート,Kassenbon,"Vergessen Sie nicht, den Kassenbon mitzunehmen."
珍しい,selten,"Ich habe einen seltenen Fisch gesehen."
撮る,fotografieren,"Ich mache ein Foto von meinem Freund."
再び,erneut,"Ich freue mich, Sie erneut zu treffen."
再来年,übernächstes Jahr,"Ich werde übernächstes Jahr heiraten."
チョーク,Kreide,"Ich schreibe mit Kreide auf die Tafel."
再来月,übernächster Monat,"Ich ziehe übernächsten Monat um."
再来週,übernächste Woche,"Ich beginne übernächste Woche mit einem neuen Job."
放送,Sendung,"Die Nachrichten werden ausgestrahlt."
装置,Gerät,"Ein neues Gerät wurde eingeführt."
ティッシュ,Taschentuch,"Können Sie mir ein Taschentuch geben?"
仮名,Schriftzeichen / Kana,"Ich lerne japanische Kana."
送り仮名,Beugungszeichen,"Schreiben Sie die Beugungszeichen korrekt."
